"","Symbol","Name","Branche"
"134","ALSK","Alaska Communications Systems Group","Technologie"
"135","ALT","Altimmune","Gesundheitswesen"
"136","ALTA","Altabancorp ",NA
"137","ALTM","Altus Midstream Company ",NA
"138","ALTR","Altair Engineering",NA
"139","ALTY","Global X SuperDividend Alternatives ETF",NA
"140","ALVR","AlloVir",NA
"141","ALXN","Alexion Pharmaceuticals","Technologie"
"142","ALXO","ALX Oncology Holdings",NA
"143","ALYA","Alithya Group inc. ",NA
"144","AMAG","AMAG Pharmaceuticals",NA
"145","AMAL","Amalgamated Bank ",NA
"146","AMAT","Applied Materials",NA
"147","AMBA","Ambarella",NA
"148","AMCA","iShares Russell 1000 Pure U.S. Revenue ETF",NA
"149","AMCI","AMCI Acquisition",NA
"150","AMCX","AMC Networks",NA
"151","AMD","Advanced Micro Devices",NA
"152","AMED","Amedisys Inc ",NA
"153","AMEH","Apollo Medical Holdings","Finanzen"
"154","AMGN","Amgen","Technologie"
"155","AMHC","Amplitude Healthcare Acquisition",NA
"156","AMKR","Amkor Technology",NA
"157","AMNB","American National Bankshares",NA
"158","AMOT","Allied Motion Technologies",NA
"159","AMPH","Amphastar Pharmaceuticals","Gesundheitswesen"
"160","AMRB","American River Bankshares ",NA
"161","AMRH","Ameri Holdings","Finanzen"
"162","AMRK","A",NA
"163","AMRN","Amarinplc ",NA
"164","AMRS","Amyris","Technologie"
"165","AMSC","American Superconductor",NA
"166","AMSF","AMERISAFE",NA
"167","AMST","Amesite",NA
"168","AMSWA","American Software",NA
"169","AMTB","Amerant Bancorp",NA
"170","AMTI","Applied Molecular Transport",NA
"171","AMTX","Aemetis Inc ",NA
"172","AMWD","American Woodmark",NA
"173","AMYT","Amryt Pharma plc ",NA
"174","AMZN","Amazon.com","Konsumgüter"
"175","ANAB","AnaptysBio","Technologie"
"176","ANAT","American National Group",NA
"177","ANCN","Anchiano Therapeutics",NA
"178","ANDA","Andina AcquisitionIII ",NA
"179","ANDE","The Andersons",NA
"180","ANGI","ANGI Homeservices",NA
"181","ANGL","VanEck Vectors Fallen Angel High Yield Bond ETF",NA
"182","ANGO","AngioDynamics","Gesundheitswesen"
"183","ANIK","Anika Therapeutics","Gesundheitswesen"
"184","ANIP","ANI Pharmaceuticals","Gesundheitswesen"
"185","ANIX","Anixa Biosciences",NA
"186","ANNX","Annexon",NA
"187","ANPC","AnPac Bio",NA
"188","ANSS","ANSYS",NA
"189","ANTE","AirNet Technology",NA
"190","ANY","Sphere 3D","Technologie"
"191","AOSL","Alpha and Omega Semiconductor Limited ",NA
"192","AOUT","American Outdoor Brands",NA
"193","APA","Apache",NA
"194","APDN","Applied DNA Sciences","Finanzen"
"195","APEI","American Public Education",NA
"196","APEN","Apollo Endosurgery","Technologie"
"197","APHA","Aphria",NA
"198","API","Agora",NA
"199","APLS","Apellis Pharmaceuticals","Gesundheitswesen"
"200","APLT","Applied Therapeutics","Technologie"
"201","APM","Aptorum Group Limited ",NA
"202","APOG","Apogee Enterprises",NA
"203","APOP","Cellect Biotechnology","Technologie"
"204","APPF","AppFolio",NA
"205","APPN","Appian",NA
"206","APPS","Digital Turbine",NA
"207","APRE","Aprea Therapeutics","Technologie"
"208","APTO","Aptose Biosciences","Gesundheitswesen"
"209","APTX","Aptinyx","Technologie"
"210","APVO","Aptevo Therapeutics","Technologie"
"211","APWC","Asia Pacific Wire  ",NA
"212","APXT","Apex Technology Acquisition",NA
"213","APYX","Apyx Medical",NA
"214","AQB","AquaBounty Technologies","Technologie"
"215","AQMS","Aqua Metals",NA
"216","AQST","Aquestive Therapeutics","Gesundheitswesen"
"217","ARAV","Aravive","Gesundheitswesen"
"218","ARAY","Accuray Incorporated ",NA
"219","ARCB","ArcBest","Infrakstruktur"
"220","ARCC","Ares Capital",NA
"221","ARCE","Arco Platform Limited ",NA
"222","ARCT","Arcturus Therapeutics Holdings","Finanzen"
"223","ARDS","Aridis Pharmaceuticals","Gesundheitswesen"
"224","ARDX","Ardelyx",NA
"225","AREC","American Resources",NA
"226","ARGX","argenx SE ",NA
"227","ARKR","Ark Restaurants",NA
"228","ARLP","Alliance Resource Partners L.P. ",NA
"229","ARNA","Arena Pharmaceuticals","Gesundheitswesen"
"230","AROW","Arrow Financial","Finanzen"
"231","ARPO","Aerpio Pharmaceuticals","Gesundheitswesen"
"232","ARQT","Arcutis Biotherapeutics","Gesundheitswesen"
"233","ARRY","Array Technologies",NA
"234","ARTL","Artelo Biosciences",NA
"235","ARTNA","Artesian Resources",NA
"236","ARTW","Art's",NA
"237","ARVN","Arvinas","Gesundheitswesen"
"238","ARWR","Arrowhead Pharmaceuticals","Gesundheitswesen"
"239","ARYA","ARYA Sciences Acquisition Corp III ",NA
"240","ASET","FlexShares Real Assets Allocation Index Fund",NA
"241","ASLN","ASLAN Pharmaceuticals Limited ",NA
"242","ASMB","Assembly Biosciences","Gesundheitswesen"
"243","ASML","ASML Holding N.V. ",NA
"244","ASND","Ascendis Pharma A/S ",NA
"245","ASO","Academy Sports and Outdoors",NA
"246","ASPS","Altisource Portfolio Solutions S.A. ",NA
"247","ASPU","Aspen Group","Gesundheitswesen"
"248","ASRT","Assertio Holdings",NA
"249","ASRV","AmeriServ Financial",NA
"250","ASTC","Astrotech","Sonstige"
"251","ASTE","Astec Industries",NA
"252","ASUR","Asure Software Inc ",NA
"253","ASYS","Amtech Systems",NA
"254","ATAX","America First Multifamily Investors L.P. ",NA
"255","ATCX","Atlas Technical Consultants",NA
"256","ATEC","Alphatec Holdings","Finanzen"
"257","ATEX","Anterix",NA
"258","ATHA","Athira Pharma",NA
"259","ATHE","Alterity Therapeutics Limited ",NA
"260","ATHX","Athersys","Technologie"
"261","ATIF","ATIF Holdings Limited ",NA
